ano,links,paragrafos_resgatados
2001,"https://cultura.estadao.com.br/noticias/geral,a-volta-de-jose-agrippino-de-paula-o-bruxo-de-embu,20010406p3412",[]
2001,"https://cultura.estadao.com.br/noticias/geral,a-volta-de-jose-agrippino-de-paula-o-bruxo-de-embu,20010406p4118",[]
2001,"https://politica.estadao.com.br/noticias/geral,itamar-deixou-de-ser-zen-apos-eclipse-do-sol,20010622p38452",[]
2002,"https://cultura.estadao.com.br/noticias/musica,festival-poe-em-destaque-a-cena-punk,20021107p4782",[]
2002,"https://cultura.estadao.com.br/noticias/musica,racionais-voltam-a-cena-com-cd-duplo,20020715p4039",[]
2009,https://brasil.estadao.com.br/blogs/sinapses/esquizofrenia-e-bipolaridade/,"['Já a esquizofrenia é, segundo o\xa0 The Diagnostic and Statistical Manual of Mental Disorders (DSM), publicado pela']"
2009,"https://cultura.estadao.com.br/noticias/artes,entre-linhas,388430",[]
2009,https://politica.estadao.com.br/blogs/advogado-de-defesa/alguns-exames-e-procedimentos-que-devera/,"['diagnóstico de esquizofrenia, transtornos esquizotípicos e transtornos delirantes; com']"
2010,"https://brasil.estadao.com.br/noticias/geral,pt-contraria-lula-e-faz-previas-em-minas-imp-,545847","['""Essa situação em Minas é esquizofrênica"", resumiu o deputado João Paulo Cunha (PT-SP).']"
2010,https://brasil.estadao.com.br/blogs/sinapses/vozes-da-esquizofrenia/,[]
2010,https://ciencia.estadao.com.br/blogs/ciencia-diaria/remedio-desenvolvido-para-tratar-a-tuberculose-poderia-ser-nova-arma-contra-autismo/,['Histórico familiar nem sempre é bom indicador para autismo e esquizofrenia']
2010,https://ciencia.estadao.com.br/blogs/ciencia-diaria/equipe-mostra-que-mente-poderia-ser-projetada-em-tela-de-computador/,[]
2010,https://ciencia.estadao.com.br/blogs/ciencia-diaria/identificada-mutacao-que-pode-explicar-risco-maior-de-meninos-para-o-autismo/,['Histórico familiar nem sempre é bom indicador para autismo e esquizofrenia']
2010,https://ciencia.estadao.com.br/blogs/ciencia-diaria/cinco-minutos-de-ressonancia-poderiam-indicar-futuras-desordens-de-desenvolvimento-em-criancas/,['Histórico familiar nem sempre é bom indicador para autismo e esquizofrenia']
2010,https://ciencia.estadao.com.br/blogs/ciencia-diaria/despindo-mona-lisa-pesquisadores-analisam-pinturas-de-da-vinci-relevando-novas-tecnicas/,[]
2010,https://ciencia.estadao.com.br/blogs/ciencia-diaria/efeito-borboleta-no-cerebro-mostra-como-orgao-e-capaz-de-funcionar-em-meio-ao-barulho/,[]
2010,https://ciencia.estadao.com.br/blogs/ciencia-diaria/nocao-de-espaco-e-senso-de-direcao-podem-ser-habilidades-inatas/,[]
2010,https://ciencia.estadao.com.br/blogs/ciencia-diaria/estimulacao-da-medula-espinhal-pode-aliviar-sintomas-do-mal-de-parkinson/,[]
2010,https://ciencia.estadao.com.br/blogs/ciencia-diaria/equipe-internacional-identifica-grupo-de-variaveis-geneticas-associadas-ao-autismo/,[]
2010,https://ciencia.estadao.com.br/blogs/ciencia-diaria/urina-de-criancas-com-autismo-revela-marcas-quimicas-singulares/,[]
2010,https://ciencia.estadao.com.br/blogs/ciencia-diaria/ciencia-decifrando-a-arte-pesquisador-mostra-a-magica-dos-quadros-de-rembrandt/,[]
2010,https://ciencia.estadao.com.br/blogs/ciencia-diaria/descoberto-caminho-do-sistema-nervoso-relacionado-a-locomocao-que-pode-estar-associado-ao-parkinson/,[]
2010,https://ciencia.estadao.com.br/blogs/ciencia-diaria/celulas-tronco-do-utero-regeneram-regioes-cerebrais-danificadas-pelo-mal-de-parkinson/,[]
2010,https://ciencia.estadao.com.br/blogs/ciencia-diaria/falta-embasamento-cientifico-para-tratamento-com-restricao-ao-gluten-em-autistas-afirmam-pesquisadores/,[]
2010,https://ciencia.estadao.com.br/blogs/ciencia-diaria/biosensor-indica-se-neuronios-funcionam-corretamente-em-resposta-a-determinadas-terapias/,['Comunicação de hipocampo e córtex pré-frontal é afetada na esquizofrenia']
2010,https://ciencia.estadao.com.br/blogs/ciencia-diaria/pesquisadores-identificam-como-proteina-faz-cerebro-preservar-informacoes-durante-anos/,['Comunicação de hipocampo e córtex pré-frontal é afetada na esquizofrenia']
2010,https://ciencia.estadao.com.br/blogs/ciencia-diaria/proteina-do-x-fragil-altera-sinais-do-cerebro-essenciais-ao-aprendizado-e-memoria-de-adultos/,[]
2010,https://ciencia.estadao.com.br/blogs/ciencia-diaria/ser-humano-aprende-da-mesma-forma-que-repteis/,['Comunicação de hipocampo e córtex pré-frontal é afetada na esquizofrenia']
2010,https://ciencia.estadao.com.br/blogs/ciencia-diaria/nova-teoria-para-a-sindrome-de-down/,[]
2010,https://ciencia.estadao.com.br/blogs/ciencia-diaria/teste-que-analisa-o-genoma-oferece-diagnostico-bem-mais-preciso-do-autismo/,[]
2010,https://ciencia.estadao.com.br/blogs/ciencia-diaria/pesquisadores-identificam-gene-que-altera-resposta-do-cerebro-ao-estresse/,[]
2010,https://ciencia.estadao.com.br/blogs/ciencia-diaria/marcadores-imunologicos-podem-indicar-evolucao-cardiaca-em-pacientes-com-doenca-de-chagas/,[]
2010,"https://cultura.estadao.com.br/noticias/geral,os-clarinetes-imp-,611993",['O clarinete dá guinchos malucos porque é um instrumento esquizofrênico.']
2010,https://cultura.estadao.com.br/blogs/direto-da-fonte/haja-frontal/,"[', os brasileiros com depressão, esquizofrenia e outros transtornos mentais mereceram atenção especial durante o governo']"
2010,"https://cultura.estadao.com.br/noticias/geral,foi-poeta-sonhou-e-amou-na-vida-imp-,571656",['é considerada esquizofrênica e paga um preço por isso. A protagonista de']
2010,https://internacional.estadao.com.br/blogs/radar-global/sindrome-de-jimmy-carter-ronda-obama/,[]
2010,https://internacional.estadao.com.br/blogs/radar-global/exilio-de-zelaya-marca-sucesso-de-golpe-corretivo/,[]
2010,"https://opiniao.estadao.com.br/noticias/geral,cartas-27102010-imp-,630480",['13. Presença mais ativa e altiva do Brasil do mundo no sentido esquizofrênico de que falou Mário Vargas Llosa?']
2010,https://politica.estadao.com.br/blogs/advogado-de-defesa/os-novos-pontos-estabelecidos-pela-ans-p/,[]
2010,"https://sao-paulo.estadao.com.br/noticias/geral,assassino-do-cartunista-glauco-vai-para-manicomio-determina-justica,654400",['Laudo psiquiátrico afirma que Carlos Eduardo Nunes é esquizofrênico e não é capaz de entender o ato']
2011,https://ciencia.estadao.com.br/blogs/ciencia-diaria/equipe-internacional-descobre-mutacao-genetica-responsavel-pela-doenca-do-lobisomen/,[]
2011,https://ciencia.estadao.com.br/blogs/ciencia-diaria/novas-terapias-restauram-funcoes-bioquimicas-em-certas-criancas-autistas/,['Histórico familiar nem sempre é bom indicador para autismo e esquizofrenia']
2011,https://cultura.estadao.com.br/blogs/combate-rock/soft-rock-e-esquizofrenia-sonora-sao-marcas-do-show-de-ringo/,[]
2011,"https://cultura.estadao.com.br/noticias/geral,esquizofrenia-sonora-marca-show-de-ringo-imp-,793994",[]
2011,"https://cultura.estadao.com.br/noticias/musica,soft-rock-e-esquizofrenia-sonora-sao-marcas-do-show-de-ringo,793780",['Soft rock e esquizofrenia sonora são marcas do show de Ringo - Cultura - Estadão']
2011,"https://cultura.estadao.com.br/noticias/geral,cala-a-boca-ja-morreu-imp-,728838",[]
2011,"https://cultura.estadao.com.br/noticias/geral,direto-da-fonte-imp-,714667",[]
2011,https://cultura.estadao.com.br/blogs/direto-da-fonte/esquizofrenia/,[]
2011,"https://cultura.estadao.com.br/noticias/geral,chico-diaz-e-gero-camilo-tomam-o-lugar-de-autores-em-dois-monologos,706326",['Ao deixar um pouco à margem todo o aspecto de esquizofrênia que ronda o criador de']
2011,"https://cultura.estadao.com.br/noticias/geral,as-relacoes-perigosas-imp-,688710",[]
2011,"https://opiniao.estadao.com.br/noticias/geral,forum-dos-leitores-imp-,790116",[]
2011,"https://opiniao.estadao.com.br/noticias/geral,cartas-05012011-imp-,662173","['Errar é humano, insistir no erro é mesmo coisa de petistas ideologicamente esquizofrênicos...']"
2011,"https://www.estadao.com.br/noticias/geral,transexual-e-condenado-por-empurrar-para-frente-de-trem-advogado-que-se-vestia-como-mulher,814628",[]
2012,"https://alias.estadao.com.br/noticias/geral,hannibal-de-garanhuns-imp-,864041",[]
2012,http://blogs.estadao.com.br/nina-lemos/a-tendencia-esquizofrenica-das-empregadas-domesticas-na-tv/,[]
2012,http://blogs.estadao.com.br/series-de-tv/ator-de-will-and-grace-volta-a-tv-em-serie-policial/,"['sofre de esquizofrenia, condição que dá ao especialista uma percepção diferente de cada crime e/ou criminoso.']"
2012,"https://cultura.estadao.com.br/noticias/geral,vermeer-e-reveron-sao-homenageados-com-mostras-em-sao-paulo-e-brasilia,971751",[]
2012,"https://cultura.estadao.com.br/noticias/geral,a-obra-desmesurada-de-reveron-recriador-da-pintura-tropical-imp-,971966",[]
2012,"https://cultura.estadao.com.br/noticias/geral,luz-de-vermeer-e-reveron-imp-,971962",[]
2012,https://cultura.estadao.com.br/blogs/nina-lemos/a-tendencia-esquizofrenica-das-empregadas-domesticas-na-tv/,[]
2012,https://cultura.estadao.com.br/blogs/series-de-tv/ator-de-will-and-grace-volta-a-tv-em-serie-policial/,"['sofre de esquizofrenia, condição que dá ao especialista uma percepção diferente de cada crime e/ou criminoso.']"
2012,https://cultura.estadao.com.br/blogs/direto-da-fonte/tenho-pavor-de-arte-moderna/,[]
2012,"https://cultura.estadao.com.br/noticias/geral,mentor-de-inhotim-bernardo-paz-busca-na-arte-contemporanea-uma-forma-de-educar-imp-,872715",[]
2012,https://cultura.estadao.com.br/blogs/combate-rock/blitz-faz-30-anos-e-ganha-documentario/,[]
2012,https://cultura.estadao.com.br/blogs/marcelo-rubens-paiva/como-matar-1-zumbi/,"['Numa interpretação da psiquiatria, aspectos psicológicos da “zumbificação” sugerem o início de um estado esquizofrênico.']"
2012,"https://cultura.estadao.com.br/noticias/geral,ainda-temos-flecha-imp-,837522",[]
2012,"https://tv.estadao.com.br/videos,politica,vespoli-psol-nao-fara-oposicao-esquizofrenica,211586","['Vespoli: PSOL não fará oposição ""esquizofrênica"" | TV Política Online | Notícias da TV Estadão']"
2012,"https://www.estadao.com.br/noticias/geral,restos-mortais-de-vitimas-de-canibalismo-sao-enterrados,861097",[]
2013,https://internacional.estadao.com.br/blogs/radar-global/blogueira-e-dissidente-cubana-yoani-sanchez-participa-de-debate-no-estado/,[]
2014,"https://cultura.estadao.com.br/fotos/geral,julio,339693",[]
2014,https://cultura.estadao.com.br/blogs/estante-de-letrinhas/aventuras-de-alice-no-pais-das-maravilhas-ganha-ilustracoes-psicodelicas-nas-maos-de-yayoi-kusama/,[]
2014,"https://cultura.estadao.com.br/noticias/cinema,amigos-e-personagens-se-despedem-de-coutinho,1126287",[]
2014,https://economia.estadao.com.br/blogs/radar-da-propaganda/falso-interprete-de-mandela-reaparece-em-comercial-de-aplicativo/,[]
2014,"https://opiniao.estadao.com.br/noticias/geral,forum-dos-leitores-imp-,1516234",[]
2015,"https://cultura.estadao.com.br/noticias/literatura,morre-aos-83-anos-o-escritor-equatoriano-miguel-donoso-pareja,1652122",[]
2015,"https://cultura.estadao.com.br/noticias/cinema,sniper-americano-e-a-tragedia-de-um-solitario-em-debate,1636135",[]
2015,"https://opiniao.estadao.com.br/noticias/geral,forum-dos-leitores,1774320","['Em um governo esquizofrênico, o ministro da Saúde só poderia ser um psiquiatra.']"
2015,"https://opiniao.estadao.com.br/noticias/geral,forum-dos-leitores,1717580",[]
2015,"https://politica.estadao.com.br/noticias/geral,as-pessoas-vao--defender-dilma--em-nome-de-que--diz-marcio-pochmann,1774029",[]
2015,"https://sao-paulo.estadao.com.br/noticias/geral,maconha-forte-pode-aumentar-risco-de-psicose-imp-,1641993",[]
2016,https://cultura.estadao.com.br/blogs/estado-da-arte/uma-homenagem-a-nino-rota/,[]
2016,"https://emais.estadao.com.br/fotos/bem-estar,esquizofrenia-o-que-e-quais-os-sintomas-e-como-tratar,679770",[]
2016,https://emais.estadao.com.br/blogs/daniel-martins-de-barros/nao-fuja-da-depressao/,[]
2016,https://link.estadao.com.br/blogs/codigo-aberto/fragilidade-sempre-soft-livre-governo-federal/,[]
2016,"https://opiniao.estadao.com.br/noticias/geral,forum-dos-leitores,10000069997",[]
2016,"https://opiniao.estadao.com.br/noticias/geral,forum-dos-leitores,10000066368",[]
2016,https://politica.estadao.com.br/blogs/neumanne/madame-nao-tem-o-menor-senso-de-locao/,"['Como diria minha tia esquizofrênica, “madama não tem o menor senso de loção”.']"
2017,"https://ciencia.estadao.com.br/fotos/geral,genes-da-esquizofrenia-protegem-contra-alzheimer-diz-estudo,760632","['Genes da esquizofrenia protegem contra Alzheimer, diz estudo - Ciência - Estadão']"
2017,"https://ciencia.estadao.com.br/fotos/geral,brasileiros-criam-metodo-para-diagnosticar-esquizofrenia-na-primeira-consulta,749622","['Brasileiros criam método para diagnosticar esquizofrenia na primeira consulta - Ciência - Estadão', 'Brasileiros criam método para diagnosticar esquizofrenia na primeira consulta', 'Brasileiros criam método para diagnosticar esquizofrenia na primeira consulta', 'Brasileiros criam método para diagnosticar esquizofrenia na primeira consulta']"
2017,"https://ciencia.estadao.com.br/fotos/geral,esquizofrenia,749606",[]
2017,https://cultura.estadao.com.br/blogs/estado-da-arte/ser-ou-nao-ser-eis-a-questao-liberal-frente-a-cura-homossexual/,[]
2017,https://cultura.estadao.com.br/blogs/divirta-se/indie-festival-traz-a-sao-paulo-43-filmes-de-15-paises-a-partir-de-4a-13/,[]
2017,https://cultura.estadao.com.br/blogs/arcenico/deleuze-no-palco/,[]
2017,"https://cultura.estadao.com.br/fotos/televisao,esquizofrenia,788123","[""Já o personagem\xa0Tarso ( Bruno Gagliasso), ainda em 'Caminho das Índias', era esquizofrênico.\xa0 Foto: Globo"", ""Já o personagem\xa0Tarso ( Bruno Gagliasso), ainda em 'Caminho das Índias', era esquizofrênico.\xa0 Foto: Globo""]"
2017,"https://cultura.estadao.com.br/noticias/geral,arcenico-nasce-um-teatro-so-para-criancas,70001957210",[]
2017,"https://cultura.estadao.com.br/noticias/literatura,morre-a-escritora-norte-americana-jean-stein-aos-83-anos,70001759573",[]
2017,https://cultura.estadao.com.br/blogs/estado-da-arte/loucura-judaica-nao-leia-veja-andy-kaufman/,[]
2017,https://cultura.estadao.com.br/blogs/estado-da-arte/o-declinio-da-expertise-e-a-ascensao-da-bullshit/,[]
2017,"https://emais.estadao.com.br/noticias/gente,post-de-rafa-brites-ajuda-a-encontrar-homem-desaparecido,70001858017",[]
2017,https://emais.estadao.com.br/blogs/sarau-luau-e-o-escambau/tem-luiz-claudio-convida-tem-oliveiras-blues-do-akira-e-tem-virada-oficial-e-alternativa/,[]
2017,"https://opiniao.estadao.com.br/noticias/geral,forum-dos-leitores,70001812470",[]
2017,"https://opiniao.estadao.com.br/noticias/geral,forum-dos-leitores,70001810053",[]
2017,"https://politica.estadao.com.br/noticias/geral,para-gilmar-atos-antecipados-de-campanha-de-lula-e-bolsonaro-podem-levar-a-condenacao,70002116287","['Gilmar avaliou que o Supremo Tribunal Federal (STF) adotará uma decisão ""esquizofrênica""']"
2017,https://politica.estadao.com.br/blogs/marco-aurelio-nogueira/entre-a-crise-e-a-recuperacao-lula-e-o-pt-seguem-em-frente/,[]
2018,"https://alias.estadao.com.br/noticias/geral,livros-reavaliam-importancia-do-filosofo-frances-gilles-deleuze,70002653821",[]
2018,"https://cultura.estadao.com.br/noticias/literatura,cenario-amos-oz-um-lutador-incansavel-contra-o-fanatismo,70002660660","[', por exemplo, chegou a chamá-lo de “o médico e o monstro”, por seu “caráter esquizofrênico”.']"
2018,"https://cultura.estadao.com.br/noticias/artes,mostras-individuais-de-nelson-felix-e-denise-milan-complementam-obras-da-bienal,70002566032",[]
2018,https://cultura.estadao.com.br/blogs/sheila-leirner/cronica-de-uma-queda-anunciada/,[]
2018,"https://cultura.estadao.com.br/noticias/geral,homens-a-deriva-no-aqui-e-agora,70002562426",[]
2018,https://cultura.estadao.com.br/blogs/divirta-se/mostra-sobre-a-escola-alema-bauhaus-esta-entre-as-inauguracoes-da-semana/,[]
2018,"https://cultura.estadao.com.br/noticias/televisao,assista-na-tv,70002537619",[]
2018,https://cultura.estadao.com.br/blogs/estado-da-arte/o-tacito-desalento-da-vida-e-a-morte-da-consciencia/,[]
2018,https://cultura.estadao.com.br/blogs/estado-da-arte/quem-nega-o-atentado-contra-bolsonaro-assume-viver-uma-alucinacao-coletiva/,[]
2018,https://cultura.estadao.com.br/blogs/estado-da-arte/o-normal-e-o-patologico/,[]
2018,https://cultura.estadao.com.br/blogs/estado-da-arte/a-selecao-brasileira-e-as-mitologias-da-nacionalidade/,[]
2018,https://economia.estadao.com.br/,[]
2018,"https://eldorado.estadao.com.br/audios/programas/jornal-eldorado/nosso-sistema-eleitoral-e-esquizofrenico-avalia-jurista,905002",[]
2018,"https://emais.estadao.com.br/fotos/bem-estar,esquizofrenia,889514","['Estima-se que a esquizofrenia afete de 800 mil a 1,4 milhão de pessoas no Brasil.', 'Estima-se que a esquizofrenia afete de 800 mil a 1,4 milhão de pessoas no Brasil.']"
2018,"https://internacional.estadao.com.br/noticias/geral,ei-busca-chegar-a-paises-nao-islamicos,70002315712",[]
2018,"https://internacional.estadao.com.br/noticias/geral,operacao-impediu-1-tentativa-do-ei-de-criar-estrutura-operativana-america-do-sul-diz-espanha,70002313839",[]
2018,"https://politica.estadao.com.br/noticias/geral,bispo-que-presidiu-ato-no-sindicato-dos-metalurgicos-diz-que-aceitaria-convite-de-novo,70002265468","['APARECIDA\xa0- “Estamos vivendo um momento esquizofrênico”, disse nesta quarta-feira, 11,\xa0ao']"
2019,https://brpolitico.com.br/noticias/os-dilemas-do-financiamento-de-campanha/,[]
2019,https://brpolitico.com.br/noticias/santos-cruz-na-mira-dos-olavistas/,[]
2019,"https://brasil.estadao.com.br/fotos/geral,familia-acusa-pm-do-rio-de-chicotear-jovem-autista-e-esquizofrenico,1021192",['Família acusa PM do Rio de chicotear jovem autista e esquizofrênico - Brasil - Estadão']
2019,"https://brasil.estadao.com.br/noticias/geral,familia-acusa-pm-do-rio-de-chicotear-jovem-autista-e-esquizofrenico,70002952951",['Família acusa PM do Rio de chicotear jovem autista e esquizofrênico - Brasil - Estadão']
2019,"https://cultura.estadao.com.br/noticias/televisao,legion-acaba-seu-desafio-surreal-com-duvida-existencial,70003063266",[]
2019,https://cultura.estadao.com.br/blogs/estado-da-arte/a-baixeza-de-bacurau/,[]
2019,"https://cultura.estadao.com.br/noticias/cinema,livro-reune-cartas-de-amor-de-f-scott-e-zelda-fitzgerald,70002947649",[]
2019,https://cultura.estadao.com.br/blogs/estado-da-arte/podcast-psicofarmacos-2/,[]
2019,https://cultura.estadao.com.br/blogs/estado-da-arte/berlinale-03-memoria-politica-e-religiao/,[]
2019,"https://emais.estadao.com.br/noticias/gente,aaron-carter-posta-foto-em-hospital-apos-perda-excessiva-de-peso,70003089960",[]
2019,"https://emais.estadao.com.br/noticias/comportamento,arte-e-psicanalise-se-unem-em-exposicao-de-artista-brasileiro,70003037607",[]
2019,"https://emais.estadao.com.br/noticias/comportamento,festival-de-cultura-do-juquery-aborda-saude-mental-e-interage-com-pacientes-psiquiatricos,70003018089",[]
2019,"https://politica.estadao.com.br/noticias/geral,ex-comandante-do-exercito-villas-boas-chama-olavo-de-trotski-de-direita,70002817757","['. O ministro retrucou e, em entrevista, chamou Olavo de ""um desocupado esquizofrênico"".']"
2019,"https://politica.estadao.com.br/noticias/geral,apos-criticas-a-general-bolsonaro-diz-que-nao-vai-regulamentar-midias-sociais,70002816680",[]
2020,https://brpolitico.com.br/noticias/em-manifesto-senadores-pedem-que-sus-distribua-remedios-a-base-de-canabidiol/,[]
2020,https://brpolitico.com.br/noticias/relatorio-semanal-17-de-agosto/,[]
2020,https://brasil.estadao.com.br/blogs/macaco-eletrico/quando-ser-bom-no-que-se-faz-vira-um-problema/,[]
2020,https://brasil.estadao.com.br/blogs/inconsciente-coletivo/entrevista-edith-eger-a-bailarina-de-auschwitz/,['Como você diz às pessoas? Obrigado por sua opinião. Nunca duvide da verdade de alguém. Eu sei que parece esquizofrênico.']
2020,"https://cultura.estadao.com.br/noticias/geral,antunes-filho-em-forma-de-texto,70003149664",[]
2020,"https://economia.estadao.com.br/noticias/geral,cotacao-dolar-bolsa-de-valores-09-12-2020-,70003545288","[', falou que a postura dos democratas na negociação é ""esquizofrênica"".\xa0Em resposta, em']"
2020,"https://internacional.estadao.com.br/noticias/nytiw,documentario-orquestra-musicos-doenca-mental,70003485234",[]
2020,"https://opiniao.estadao.com.br/noticias/artigos-dos-leitores,forum-dos-leitores,70003437586",[]
2020,"https://opiniao.estadao.com.br/noticias/artigos-dos-leitores,forum-dos-leitores,70003164647",[]
2020,https://politica.estadao.com.br/blogs/estadao-verifica/e-falso-que-oms-tenha-retirado-maconha-de-lista-de-drogas/,['O uso da maconha pode exacerbar a esquizofrenia em indivíduos afetados;']
2021,https://brasil.estadao.com.br/blogs/macaco-eletrico/a-esquizofrenia-do-posicionamento/,"['Vivemos, portanto, uma “esquizofrenia do posicionamento”: se correr, o bicho pega; se ficar, o bicho come!', 'Por isso, a melhor maneira de vencer a esquizofrenia do posicionamento é não embarcar nessa loucura.']"
2021,"https://cultura.estadao.com.br/noticias/geral,bruno-gagliasso-estreia-santo-producao-internacional-da-netflix,70003651332","['Cardona entra para a lista de personagens fortes de sua carreira, ao lado do esquizofrênico Tarso, da novela']"
2021,"https://eldorado.estadao.com.br/audios/programas/jornal-eldorado/e-uma-coalizao-esquizofrenica-diz-especialista-sobre-novo-governo-de-israel,1176353","['“É uma coalizão esquizofrênica”, diz especialista sobre novo governo de Israel']"
2021,https://emais.estadao.com.br/blogs/cronica-por-quilo/ora-pilulas/,['– Existe um Brasil maravilhoso que ninguém conhece. Só os esquizofrênicos.']
2021,"https://internacional.estadao.com.br/noticias/nytiw,alzheimer-pesquisa-sinais-textos-escritos,70003702236",[]
2021,"https://opiniao.estadao.com.br/noticias/artigos-dos-leitores,forum-dos-leitores,70003853781",[]
2021,"https://opiniao.estadao.com.br/noticias/artigos-dos-leitores,forum-dos-leitores,70003681598",[]
2021,https://politica.estadao.com.br/blogs/fausto-macedo/os-beneficios-do-inss-para-portadores-de-doenca-psicologica/,[]
2021,https://politica.estadao.com.br/blogs/fausto-macedo/incunabulo-do-mito/,[]
2021,https://politica.estadao.com.br/blogs/fausto-macedo/execucao-penal-genocida-e-esquizofrenica-2/,[]
2021,https://politica.estadao.com.br/blogs/fausto-macedo/execucao-penal-genocida-e-esquizofrenica/,[]
2021,https://politica.estadao.com.br/blogs/estadao-verifica/nao-estudo-da-universidade-de-stanford-nao-concluiu-que-uso-de-mascaras-e-ineficaz-e-perigoso/,[]
2021,https://politica.estadao.com.br/blogs/coluna-do-estadao/pazuello-segue-rotina-de-acumular-reveses/,[]
2021,https://politica.estadao.com.br/blogs/fausto-macedo/legislacao-eleitoral-versus-realidade-partidaria/,"['Não bastasse o desafio das urnas, acabamos criando um cenário esquizofrênico.']"
2022,"https://economia.estadao.com.br/noticias/geral,profarma-fecha-acordo-para-compra-de-10-na-health-meds-de-produtos-a-base-de-cannabis,70004084868",['(de origem vegetal). A linha de canabinoides é usada para tratamentos que vão desde anorexia e dor até esquizofrenia.']
2022,https://einvestidor.estadao.com.br/ultimas/petroleo-preco-hoje-inflacao-eua/,"['está em um “estado de esquizofrenia”, com queda recente apesar de sinais de melhora da demanda.']"
2022,"https://emais.estadao.com.br/noticias/comportamento,um-ano-depois-familia-descobre-que-homem-que-furtou-roupa-de-cadela-sofre-de-esquizofrenia,70004114178","['Um ano depois, família descobre que homem que furtou roupa de cadela sofre de esquizofrenia - Emais - Estadão', 'Um ano depois, família descobre que homem que furtou roupa de cadela sofre de esquizofrenia']"
2022,"https://emais.estadao.com.br/fotos/comportamento,um-ano-depois-familia-descobre-que-homem-que-furtou-roupa-de-cadela-sofre-de-esquizofrenia,1258405","['Um ano depois, família descobre que homem que furtou roupa de cadela sofre de esquizofrenia - Emais - Estadão', 'Um ano depois, família descobre que homem que furtou roupa de cadela sofre de esquizofrenia', 'Um ano depois, família descobre que homem que furtou roupa de cadela sofre de esquizofrenia']"
2022,"https://emais.estadao.com.br/fotos/bem-estar,dicionario-anticapacitista,1251856","['Dicionário anticapacitista pretende combater estigma envolvendo esquizofrenia.', 'Dicionário anticapacitista pretende combater estigma envolvendo esquizofrenia.']"
2022,"https://emais.estadao.com.br/noticias/gente,filho-do-musico-nick-cave-jethro-lazenby-morre-aos-31-anos,70004062238",[]
2022,"https://emais.estadao.com.br/noticias/bem-estar,orquestra-formada-por-musicos-com-doencas-mentais-luta-contra-estigmas,70003958639",[]
2022,"https://saude.estadao.com.br/noticias/geral,amil-aps-plano-de-saude-idoso-justica-convenio-consulta-hospitais,70003972423",[]
2022,https://www.estadao.com.br/internacional/nytiw/analise-de-voz-orientada-por-inteligencia-artificial-pode-ajudar-a-identificar-transtornos-mentais/,[]
